University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
University of California - San Diego (UCSD),bioinformatics and systems biology,32000.0,1.21,2017.0,6th and up,"We effectively are paid less in the summer.<br>Technically,<br>we are paid the same amount,<br>but we <span class=""truncated""> receive less of our stipend during the summer.<br>This is because of a FICA tax deduction for which we are eligible only if registered for 6+ credits.<br>We qualify for this deduction during the rest of the year,<br>but since we are not registered in classes during the summer sessions,<br>we don&#39;t qualify.<br>This despite the fact that we do at least as much research during summer as any other time.<br>It seems an easy solution if our department offered the graduate research class during the summer sessions.<br>We could all register for 6 or more credits and be fine.<br>I don&#39;t think the change would require students or PIs to go out of their way much at all; I imagine it would just be a question of some administrative coordination.</span>","$32,000",,,,bioinformatics and systems biology
Georgia Institute of Technology (Georgia Tech),ocean science and engineering,27000.0,1.16,2017.0,1st,nan,"$27,000",,,,ocean science and engineering
University of California - San Diego (UCSD),scripps institution of oceanography,30000.0,1.13,2017.0,1st,nan,"$30,000",,,,scripps institution of oceanography
Oregon State University (OSU),anthropology,12939.0,0.62,2017.0,2nd,nan,,"$12,939",,,anthropology
University of Oregon (UO),biology,25819.0,1.23,2017.0,6th and up,health insurance is very good and like $20/month,"$26,000",,,$181,biology
Virginia Tech,physics,21600.0,1.03,2017.0,3rd,"Need to pay comprehensive fee for Sping/Fall semesters,<br>so the net income during these period is <span class=""truncated""> 1200/month,<br>very hard to have a decent life.</span>","$21,600",,,,physics
Ohio State University (OSU),electrical &amp; computer engineering,25800.0,1.29,2017.0,1st,nan,"$25,800",,,,electrical &amp; computer engineering
University of Maryland - College Park (UMD),electrical engineering,18093.0,0.6,2017.0,1st,"9 month appointment as a Graduate Research Assistant (GRA).<br>3 months in the summer I will be <span class=""truncated""> interning at my professor&#39;s company with better payment.</span>",,"$18,093",,,electrical engineering
University of California - Berkeley,espn,28500.0,1.03,2017.0,4th,nan,"$28,500",,,,espn
Tulane University (TU),philosophy,18200.0,0.79,2017.0,,nan,,"$20,000",,"$1,800",philosophy
Temple University,media and communications,18500.0,,2017.0,1st,nan,,"$18,500",,,media and communications
University of Texas - Austin (UT),english,16787.0,0.74,2017.0,5th,nan,,"$16,787",,,english
Simon Fraser University ,biological sciences,21000.0,,2017.0,2nd,"All amounts in $CAD.<br>Tuition fees decrease to ~$4300 CAD after 3
Or so years in the program.<br>","$21,000",,,,biological sciences
University of Nebraska - Lincoln (NU),entomology,21800.0,1.12,2017.0,3rd,nan,"$23,000",,,"$1,200",entomology
Duke University (DU),biology,27000.0,1.21,2017.0,2nd,nan,,"$21,500","$5,500",,biology
University of Nebraska - Lincoln (NU),snr,22000.0,1.13,2017.0,,nan,"$22,000",,,,snr
Ohio State University (OSU),neuroscience,27600.0,1.38,2017.0,6th and up,nan,"$27,600",,,,neuroscience
Arizona State University (ASU),computer engineering,16000.0,0.72,2017.0,5th,IGERT Fellowship Stipend,"$18,000",,,"$2,000",computer engineering
University of Tennessee - Knoxville,animal science,15800.0,0.74,2017.0,2nd,nan,"$16,800",,,"$1,000",animal science
University of Delaware (UD),chemistry,25000.0,0.98,2017.0,4th,nan,"$26,000",,,"$1,000",chemistry
Rice University,business,39333.0,1.8,2017.0,1st,nan,"$40,000",,,$667,business
Southern Methodist University (SMU),mathematics,20500.0,0.95,2017.0,1st,nan,,"$20,500",,,mathematics
University of California - Santa Barbara (UCSB),biomolecular science and engineering,28500.0,1.09,2017.0,6th and up,nan,"$28,500",,,,biomolecular science and engineering
Colorado State University (CSU),forest and rangeland stewardship,16160.0,0.72,2017.0,2nd,nan,"$19,260",,,"$3,100",forest and rangeland stewardship
Rutgers the State University of New Jersey - New Brunswick,school of communication and information,25000.0,0.97,2017.0,2nd,Tuition and fee waivers and health insurance included,,"$25,000",,,school of communication and information
University of Louisiana - Lafayette,mathematics,17000.0,0.81,2017.0,1st,nan,,"$17,000",,,mathematics
University of Texas - Austin (UT),philosophy,12400.0,0.54,2017.0,,Worst stipend in the top 20 Philosophy PhD programs,,"$13,500",,"$1,100",philosophy
University of North Carolina - Charlotte (UNCC),biology/kinesiology,16980.0,0.74,2017.0,1st,nan,"$20,000",,,"$3,020",biology/kinesiology
McGill,management,25500.0,,2017.0,1st,"This figure is a guaranteed stipend that requires no work.<br> Any additional RA/GA responsibilities <span class=""truncated""> are paid at $22/hr</span>","$30,000",,,"$4,500",management
University of Pittsburgh,electrical and computer engineering,22000.0,1.06,2017.0,2nd,nan,,"$22,000",,,electrical and computer engineering
University of Texas - Austin (UT),african and african diaspora studies,16500.0,0.72,2017.0,4th,nan,,"$16,500",,,african and african diaspora studies
Arizona State University (ASU),school of molecular sciences,22874.0,1.03,2017.0,5th,The stipend amount has been unchanged since at least 2014,"$23,602",,,$728,school of molecular sciences
Florida Atlantic University (FAU),harbor branch oceanographic institute,20050.0,0.84,2017.0,1st,nan,"$20,050",,,,harbor branch oceanographic institute
Miami University (MU),educational leadership,21000.0,1.09,2017.0,1st,nan,"$21,000",,,,educational leadership
Pennsylvania State University (Penn State),ecology,35000.0,1.56,2017.0,1st,nan,"$35,000",,,,ecology
New Mexico State University (NMSU),physics,13000.0,0.62,2017.0,1st,nan,"$19,000",,,"$6,000",physics
University of Arkansas - Fayetteville,english,13000.0,0.65,2017.0,1st,nan,,"$13,000",,,english
Washington State University (WSU),psychology,14900.0,0.79,2017.0,4th,nan,"$17,900",,,"$3,000",psychology
University of Texas - Austin (UT),biology,30000.0,1.31,2017.0,4th,nan,"$30,000",,,,biology
Binghamton University - SUNY,chemistry,27000.0,1.31,2017.0,1st,nan,,"$23,000","$4,000",,chemistry
University of Illinois - Urbana- Champaign (UIUC),chemistry,37000.0,1.68,2017.0,3rd,Springborn Fellowship &amp; NSF Fellowship,"$37,000",,,,chemistry
University of North Carolina - Chapel Hill (UNC),nan,24000.0,1.08,2017.0,1st,Recruitment fellowship ,"$24,000",,,,nan
CUNY - City College,electrical engineering,30059.0,1.01,2017.0,5th,nan,"$30,059",,,,electrical engineering
Pennsylvania State University (Penn State),geography,28000.0,1.25,2017.0,4th,Fellowship,,"$25,000","$3,000",,geography
Pennsylvania State University (Penn State),geography,22035.0,0.98,2017.0,4th,nan,,"$19,035","$3,000",,geography
University of Texas - Austin (UT),geography,24336.0,1.07,2017.0,4th,"Insurance assistance,<br>and in-state tuition.<br>",,"$24,336",,,geography
Cornell University (CU),ilr school,25000.0,1.03,2017.0,6th and up,"I’ve noted an approximate gross amount above.<br>I received about $2100 a month for 9 months and $1500 <span class=""truncated""> a month over 3 months of summer (these are both net figures).<br>Ithaca was an expensive place to live and we only got $500 in total per year towards conference expenses (which is ridiculous).<br>After tax,<br>this $500 translated to $410.<br>This amount of $500 remained the SAME between 2011 and 2018 (duration of my program).<br></span>","$25,000",,,,ilr school
University of Denver (DU),international studies,17000.0,0.76,2017.0,1st,nan,"$17,000",,,,international studies
University of Florida (UF),linguistics,13500.0,0.59,2017.0,1st,2k annual supplemental stipend for first 3 years,,"$15,000",,"$1,500",linguistics
University of California - Irvine (UCI),sociology,21884.0,0.75,2017.0,1st,"Funding is promised for 6 years.<br>The base package includes a $15,000 out-of-state tuition waiver <span class=""truncated""> for the first year,<br>a $2,000 dollar summer stipend before the first year,<br> and health insurance (Includes vision and dental!).<br></span>",,"$20,653","$2,000",$769,sociology
,21000,19000.0,,2017.0,1st,nan,"$21,000",,,"$2,000",21000
Boston University (BU),psychological and brain sciences,20000.0,0.7,2017.0,1st,It was an 8 month salary (Sept-April),,"$20,000",,,psychological and brain sciences
Yale University (YU),genetics,34600.0,1.4,2017.0,4th,nan,"$34,600",,,,genetics
Michigan State University (MSU),kinesiology,15300.0,0.75,2017.0,3rd,nan,,"$15,300",,,kinesiology
Carnegie Mellon University (CMU),heinz college,27000.0,1.3,2017.0,,nan,,"$24,000","$3,000",,heinz college
Stony Brook University - SUNY,physics and astronomy,30445.0,1.09,2017.0,,nan,"$31,899",,,"$1,454",physics and astronomy
,biomedical engineering,24982.0,,2017.0,1st,Health insurance (~$1000)<br>reimbursed by department.<br>Mandatory fee = graduate student activity fee.,"$25,000",,,$18,biomedical engineering
University of Louisville (U of L),doctorate,51200.0,2.48,2017.0,1st,nan,"$51,200",,,,doctorate
Purdue University - West Lafayette,botany and plant pathology,22770.0,1.08,2017.0,1st,nan,"$22,920",,,$150,botany and plant pathology
Stanford University (SU),physics,37830.0,1.32,2017.0,2nd,Half health insurance subsidy,"$37,830",,,,physics
University of Virginia (UVA),politics,24000.0,1.05,2017.0,,nan,,"$24,000",,,politics
Northwestern University (NU),nuin,31320.0,1.29,2017.0,1st,nan,"$31,760",,,$440,nuin
Baylor University (BU),religion,19500.0,0.98,2017.0,2nd,nan,,"$19,000","$4,000","$3,500",religion
Carnegie Mellon University (CMU),chemical engineering,29000.0,1.4,2017.0,1st,nan,"$29,000",,,,chemical engineering
Northwestern University (NU),physics,31248.0,1.29,2017.0,1st,nan,"$31,248",,,,physics
Arizona State University (ASU),semte,28500.0,1.28,2017.0,1st,"Fellowship,<br>~$2300/mo after tax withholding.<br>Am able to rent $900/mo ($725/mo base)<br>400 sqft studio <span class=""truncated""> ~1-2 miles from campus.<br>No UG debt,<br>1 gap-year internship.</span>","$30,000",,,"$1,500",semte
University of Michigan - Ann Arbor (UM),chemistry,30680.0,1.33,2017.0,2nd,nan,"$31,000",,,$320,chemistry
Imperial College London,computing,21023.0,,2017.0,2nd,nan,"$21,023",,,,computing
University of Delaware (UD),physical therapy,25000.0,0.98,2017.0,1st,nan,"$25,000",,,,physical therapy
University of California - Davis (UCD),animal behavior,24026.0,1.0,2017.0,1st,nan,,"$20,653","$4,200",$827,animal behavior
Indiana University,finance,26000.0,1.2,2017.0,1st,nan,"$26,000",,,,finance
University of Idaho (UI),nan,14000.0,0.67,2017.0,,nan,,"$14,000",,,nan
University of California - Los Angeles (UCLA),human genetics,32000.0,1.24,2017.0,2nd,nan,"$32,000",,,,human genetics
University of Pittsburgh,engineering,23000.0,1.11,2017.0,,nan,"$23,000",,,,engineering
University of Southern California (USC),linguistics,40438.0,1.56,2017.0,3rd,Summer funding not guaranteed (but I&#39;ve gotten it every summer so far),,"$34,000","$6,500",$62,linguistics
Northern Arizona University (NAU),earth systems,27560.0,1.18,2017.0,3rd,nan,,"$20,000","$8,800","$1,240",earth systems
University of Alabama - Huntsville (UAH),mechanical and aerospace engineering,14870.0,0.7,2017.0,6th and up,nan,"$15,000",,,$130,mechanical and aerospace engineering
University of California - San Francisco (UCSF),biophysics,37000.0,1.24,2017.0,2nd,nan,"$37,000",,,,biophysics
Fordham University (FU),philosophy,23200.0,0.78,2017.0,1st,nan,"$24,000",,,$800,philosophy
University of Alabama - Birmingham (UAB),bme,28975.0,1.34,2017.0,,nan,"$29,000",,,$25,bme
Drexel University (DU),nan,23844.0,0.99,2017.0,1st,nan,"$23,844",,,,nan
,speech language and hearing phd in communication sciences and disorders,27000.0,,2017.0,5th,Small discount on tuition but have to be enrolled full time for stipend ,"$27,000",,,,speech language and hearing phd in communication sciences and disorders
Northwestern University (NU),chemical and biological engineering,31360.0,1.29,2017.0,5th,nan,"$31,800",,,$440,chemical and biological engineering
University of California - Irvine (UCI),statistics,20793.0,0.71,2017.0,1st,nan,,"$20,793",,,statistics
Michigan Technological University (MTU),geology,25661.0,1.26,2017.0,5th,"My gross pay is through a graduate student fellowship,<br>where I need to pay quarterly taxes.<br>Cost of <span class=""truncated""> living is relatively low in the area,<br>so graduate students are able to find relatively affordable rent and live comfortably.<br>It does help that I&#39;m still on my family&#39;s car insurance and cell phone plan,<br>which cuts down on some bills.<br></span>","$25,785",,,$124,geology
University of California - Los Angeles (UCLA),molecular biology,32000.0,1.24,2017.0,5th,nan,"$32,000",,,,molecular biology
Wayne State University,biological sciences,24700.0,1.18,2017.0,1st,Summer salary may depend on the PI or what type of class you have to teach,,"$22,000","$2,700",,biological sciences
University of Rochester (UR),the institute of optics,33980.0,1.59,2017.0,5th,NSF Graduate Research Fellowship,"$34,000",,,$20,the institute of optics
University of Texas - San Antonio (UTSA),psychology,13813.0,0.67,2017.0,2nd,nan,"$25,000",,,"$11,187",psychology
University of Southern California (USC),nan,36256.0,1.4,2017.0,1st,nan,"$36,256",,,,nan
University of Southern California (USC),molecular and computational biology,29904.0,1.16,2017.0,3rd,nan,"$30,000",,,$96,molecular and computational biology
Pennsylvania State University (Penn State),political science,24040.0,1.07,2017.0,,"$3,000 for first three summers","$24,040",,,,political science
Rutgers the State University of New Jersey - New Brunswick,political science,28000.0,1.09,2017.0,,nan,,"$25,000","$3,000",,political science
CUNY Graduate School and University Center,musicology,25000.0,0.84,2017.0,1st,nan,"$25,000",,,,musicology
University of Wisconsin - Milwaukee (UWM),anthropology,15000.0,0.7,2017.0,2nd,"This is the stipend for doctoral students at a 50% Teaching Assistant appointment (20hr/wk of <span class=""truncated""> work); non-doctoral is $12,850 and dissertator is $16,595.<br>Two of these are increasing next year: non-doctoral to $13,750 and dissertator to $16,600.<br>This includes tuition remission (not including any extra fees for certain classes).<br>Non-doctoral students in this department are usually appointed at 33%/9mth $8,481 (increasing to $9,075 for 2018-19).<br>Note that these dollar amounts are split over two semesters; no funding is provided for summer.</span>",,"$15,000",,,anthropology
University of California - Berkeley,philosophy,29000.0,1.04,2017.0,1st,"This is what the first year fellowship pays.<br>Subsequent years are similar (around $30,500),<br>but the <span class=""truncated""> pay involves  teaching as a GSI during the fall,<br>spring,<br>and summer (if you choose to not teach in the summer,<br>the pay for fall and spring is around $26k).</span>","$29,000",,,,philosophy
Brandeis University,english,76364.0,2.73,2017.0,1st,0,"$76,364",,,,english
College of William and Mary (W&amp;amp;M),virginia institute of marine science,20452.0,,2017.0,2nd,nan,"$20,452",,,,virginia institute of marine science
Indiana University,earth and atmospheric sciences,17200.0,0.8,2017.0,1st,nan,,"$18,300",,"$1,100",earth and atmospheric sciences
